chain,market_name,category,underlying_asset_class,maturity,days_to_maturity,tvl_usd,pt_implied_apy,lp_apy,pendle_reward_apy,lp_max_boosted_apy,fee_rate,risk_flags,risk_score,risk_tier,pendle_categories,is_prime,market_address,pt_address,sy_address,underlying_token,source_url,protocol_tier
Ethereum,USDat,fixed_yield,stable,2026-08-27,83,12459345,8.83,5.35,1.28,7.28,0.18,"centralized_dependency,depeg_risk,il_risk",4,Medio,stables|points|rwa|strc,False,0x9afe7a057a09cf5da748d952078c9c99938b4329,0x1d69402390657308c91179aa184bf992908c1e08,0x7a7de491e1be5287874904e2b7c8488249a4d0a9,0x23238f20b894f29041f48d88ee91131c395aaa71,https://app.pendle.finance/trade/markets/0x9afe7a057a09cf5da748d952078c9c99938b4329/swap?view=pt&chain=ethereum,Tier 1
Ethereum,SIERRA,fixed_yield,stable,2026-07-02,27,12023245,9.98,7.78,0.18,10.72,0.2,"centralized_dependency,depeg_risk,il_risk",4,Medio,stables|points|rwa,False,0xa556b5327372ab8aaefda2b756eed0608afd6ca5,0x1a69154f6f6247e4457332860fb173251a36e03f,0x399e426e6812943ac22976333698e16eaa80a209,0x6bf7788eaa948d9ffba7e9bb386e2d3c9810e0fc,https://app.pendle.finance/trade/markets/0xa556b5327372ab8aaefda2b756eed0608afd6ca5/swap?view=pt&chain=ethereum,Tier 1
Ethereum,srUSDe,fixed_yield,stable,2026-06-25,20,11029267,4.77,3.78,0.32,4.25,0.1,"centralized_dependency,depeg_risk,il_risk",4,Medio,stables|points|ethena|strata,True,0xfc82267a9e065aaf407f64dadd49bfbdc9511fb1,0x619d75e3b790ebc21c289f2805bb7177a7d732e2,0xc9bfebc79a722c05dc34bd2a227ef2db19fd1b8e,0x3d7d6fdf07ee548b939a80edbc9b2256d0cdc003,https://app.pendle.finance/trade/markets/0xfc82267a9e065aaf407f64dadd49bfbdc9511fb1/swap?view=pt&chain=ethereum,Tier 1
Ethereum,apyUSD,fixed_yield,stable,2026-06-18,13,9901395,24.19,25.06,1.62,27.48,0.49,"centralized_dependency,depeg_risk,il_risk",5,Medio,points|rwa|strc,False,0x3c53fae231ad3c0408a8b6d33138bbff1caec330,0x3365554a61ceff74a76528f9e86c1e87946d16a5,0x04f8dca7bccd8997ac57ca6fef7c705e17d6bcb6,0x38eeb52f0771140d10c4e9a9a72349a329fe8a6a,https://app.pendle.finance/trade/markets/0x3c53fae231ad3c0408a8b6d33138bbff1caec330/swap?view=pt&chain=ethereum,Tier 1
Ethereum,sUSDe,fixed_yield,stable,2026-08-13,69,9466665,4.41,4.22,0.25,4.6,0.08,"centralized_dependency,depeg_risk,il_risk",5,Medio,stables|ethena|points|rwa,True,0x177768caf9d0e036725a51d3f60d7e20f2d4d194,0x5a19fa369f2895dcd8d2cee62e4ceae58ef92bbb,0xbf98480425a29197e5d99d003017f63a1e595d02,0x9d39a5de30e57443bff2a8307a4256c8797a3497,https://app.pendle.finance/trade/markets/0x177768caf9d0e036725a51d3f60d7e20f2d4d194/swap?view=pt&chain=ethereum,Tier 1
Ethereum,msY,fixed_yield,stable,2026-07-30,55,8925873,12.35,12.41,0.24,12.76,0.24,"centralized_dependency,depeg_risk,il_risk",5,Medio,stables|points,False,0x2251b22b82b916142b133d91cd7ac4b5b3c36954,0x2500e6205e61102842b8794b291eb27ab32efe27,0x659c663cdcc068b56e4a5afe262cb92baa0f3e19,0x890a5122aa1da30fec4286de7904ff808f0bd74a,https://app.pendle.finance/trade/markets/0x2251b22b82b916142b133d91cd7ac4b5b3c36954/swap?view=pt&chain=ethereum,Tier 1
Ethereum,sUSDS,fixed_yield,stable,2026-11-26,174,8261649,5.33,11.33,0.5,21.55,0.11,"centralized_dependency,depeg_risk,il_risk",5,Medio,stables|rwa|_featured,False,0x9c560ebaf78e596cbcc27411d633a74d628dd7dc,0xdc169abe56461a2e0c034da431ac2a3ebf596094,0xbe3d4ec488a0a042bb86f9176c24f8cd54018ba7,0xa3931d71877c0e7a3148cb7eb4463524fec27fbd,https://app.pendle.finance/trade/markets/0x9c560ebaf78e596cbcc27411d633a74d628dd7dc/swap?view=pt&chain=ethereum,Tier 1
Ethereum,apxUSD,fixed_yield,stable,2026-06-18,13,8112027,18.18,15.96,1.95,18.88,0.35,"centralized_dependency,depeg_risk,il_risk",5,Medio,points|rwa|strc,False,0x50dce085af29caba28f7308bea57c4043757b491,0x92a6a01b07984de46c24e8eba248449beb8b1dcb,0x4f116ee5bcd227d1a1c4f57918d694a4abe7b3fc,0x98a878b1cd98131b271883b390f68d2c90674665,https://app.pendle.finance/trade/markets/0x50dce085af29caba28f7308bea57c4043757b491/swap?view=pt&chain=ethereum,Tier 1
Ethereum,USDG,fixed_yield,stable,2026-09-24,111,5549490,4.94,5.01,1.14,9.91,0.09,"centralized_dependency,depeg_risk,il_risk",5,Medio,stables|rwa|_featured,False,0xf80b67a32df07960c731794769309e3d30e9717f,0xc1906aecf868749a2dee203f59b904c0cf212140,0xc1799cab1f201946f7cfafbaf1bcc089b2f08927,0xe343167631d89b6ffc58b88d6b7fb0228795491d,https://app.pendle.finance/trade/markets/0xf80b67a32df07960c731794769309e3d30e9717f/swap?view=pt&chain=ethereum,Tier 1
Ethereum,sNUSD,fixed_yield,stable,2026-09-24,111,5237133,5.3,7.04,1.5,9.29,0.11,"centralized_dependency,depeg_risk,il_risk",5,Medio,stables|points,False,0xb1edcea8f9be0b97a9c4065a16cfa3cd362c3bde,0x2cd3b102fe872cb92decb8d3fad827c6b6e2364d,0x10c5e7711eaddc1b6b64e40ef1976fc462666409,0x08efcc2f3e61185d0ea7f8830b3fec9bfa2ee313,https://app.pendle.finance/trade/markets/0xb1edcea8f9be0b97a9c4065a16cfa3cd362c3bde/swap?view=pt&chain=ethereum,Tier 1
Ethereum,reUSDe,fixed_yield,stable,2026-06-25,20,5097633,16.59,14.99,0.5,15.74,0.31,"centralized_dependency,depeg_risk,il_risk",5,Medio,stables|rwa,False,0x6cb9a013604a567a5834fadd411165b1ca616783,0xdc9a5a2e3ce7ac881fc3b28c629c05d1617d1c56,0x47dfd0c8eee949748c1d5cb6b695a4aba5fe7379,0xddc0f880ff6e4e22e4b74632fbb43ce4df6ccc5a,https://app.pendle.finance/trade/markets/0x6cb9a013604a567a5834fadd411165b1ca616783/swap?view=pt&chain=ethereum,Tier 1
Ethereum,sUSDD,fixed_yield,stable,2026-08-27,83,5059340,7.72,8.36,1.79,11.04,0.16,"centralized_dependency,depeg_risk,il_risk",5,Medio,stables|_featured,False,0x45252f9a932910abc436644f0b29f5531f0eb4cc,0xd341a146a4fd20ea89898e4d86ae1829bf3a1c23,0x149bd983030e14e8b2f1ebdc8bbd9c419411fbc9,0xc5d6a7b61d18afa11435a889557b068bb9f29930,https://app.pendle.finance/trade/markets/0x45252f9a932910abc436644f0b29f5531f0eb4cc/swap?view=pt&chain=ethereum,Tier 1
Ethereum,sUSDat,fixed_yield,stable,2026-08-27,83,5002497,13.51,6.62,0.99,8.11,0.28,"centralized_dependency,depeg_risk,il_risk",5,Medio,points|rwa|strc,False,0x91bc86899c8391b6caaf26535b9cd82efe49a189,0xc689f76f90fe1762fac55983ff25ae71033a84f7,0x8917f8c7feb840b5837edc7e128123baa2f289f9,0xd166337499e176bbc38a1fbd113ab144e5bd2df7,https://app.pendle.finance/trade/markets/0x91bc86899c8391b6caaf26535b9cd82efe49a189/swap?view=pt&chain=ethereum,Tier 1
Ethereum,srUSDat,fixed_yield,stable,2026-08-27,83,4446739,11.71,13.13,1.77,15.79,0.22,"centralized_dependency,depeg_risk,il_risk",5,Medio,strc|points|rwa|strata,False,0x4237a8acbd0b5a2dec4aa83b1fd83f20162d02b8,0x2d433b943fb8c015ae409444b7f960ed288082b4,0x9d0fc59f88acb85520a8cfb74c7fe141d8563185,0xfaa9a0e1db9e22ae3a20b2b58a68dc24d053d066,https://app.pendle.finance/trade/markets/0x4237a8acbd0b5a2dec4aa83b1fd83f20162d02b8/swap?view=pt&chain=ethereum,Tier 1
Ethereum,reUSD,fixed_yield,stable,2026-06-25,20,4274140,11.13,9.95,1.84,12.7,0.23,"centralized_dependency,depeg_risk,il_risk",5,Medio,stables|rwa,False,0xf5929a1c332ceab7918a4593a43db2b9ac20095f,0x3eaa0f0f0a5d3d595ae4e4b0d27f439d01c3e7b2,0x9487bd5a3b16ecb5f3184453e3ee75b800141648,0x5086bf358635b81d8c47c66d1c8b9e567db70c72,https://app.pendle.finance/trade/markets/0xf5929a1c332ceab7918a4593a43db2b9ac20095f/swap?view=pt&chain=ethereum,Tier 1
Ethereum,stcUSD,fixed_yield,stable,2026-07-23,48,3339076,6.01,5.46,0.15,5.68,0.12,"centralized_dependency,depeg_risk,il_risk",5,Medio,stables|points,False,0xac24a6f0068d9701eaea76ab0b418021017f8d59,0x2d3c279e5fcdf5b793c0a75ed90738d7369b0b83,0x27010ce8d14b4e73ef48af1cf9a5a91e8356d10f,0x88887be419578051ff9f4eb6c858a951921d8888,https://app.pendle.finance/trade/markets/0xac24a6f0068d9701eaea76ab0b418021017f8d59/swap?view=pt&chain=ethereum,Tier 1
