vault_name,protocol,category,underlying_assets,strategy_summary,tvl_usd,base_apy,reward_apy,net_apy_7d,net_apy_30d,risk_flags,audits,withdrawal_terms,vault_address,source_url,underlying_asset_class,risk_score,risk_tier,protocol_url
Steakhouse Prime USDC,Morpho (MetaMorpho),lending,USDC,Curated MetaMorpho vault allocating USDC across Morpho Blue markets,456224462,4.46,0,4.37,4.29,"depeg_risk,liquidation_risk","MetaMorpho & Morpho Blue: Spearbit, Cantina, OpenZeppelin",instant (subject to market liquidity),0xBEEFE94c8aD530842bfE7d8B397938fFc1cb83b2,https://defillama.com/yields/pool/7820bd3c-461a-4811-9f0b-1d39c1503c3f,stable,1,Bajo,https://app.morpho.org/base/vault/0xBEEFE94c8aD530842bfE7d8B397938fFc1cb83b2
Gauntlet USDC Prime,Morpho (MetaMorpho),lending,USDC,Curated MetaMorpho vault allocating USDC across Morpho Blue markets,369297750,4.46,0,4.37,4.29,"depeg_risk,liquidation_risk","MetaMorpho & Morpho Blue: Spearbit, Cantina, OpenZeppelin",instant (subject to market liquidity),0xeE8F4eC5672F09119b96Ab6fB59C27E1b7e44b61,https://defillama.com/yields/pool/e0672197-9f3e-4414-bca5-e6b4c90aa469,stable,1,Bajo,https://app.morpho.org/base/vault/0xeE8F4eC5672F09119b96Ab6fB59C27E1b7e44b61
Steakhouse USDC,Morpho (MetaMorpho),lending,USDC,Curated MetaMorpho vault allocating USDC across Morpho Blue markets,301688163,3.32,0.25,3.51,3.82,"depeg_risk,liquidation_risk","MetaMorpho & Morpho Blue: Spearbit, Cantina, OpenZeppelin",instant (subject to market liquidity),0xbeeF010f9cb27031ad51e3333f9aF9C6B1228183,https://defillama.com/yields/pool/81ae8812-f04f-4f6e-9d71-ee5778f3a178,stable,1,Bajo,https://app.morpho.org/base/vault/0xbeeF010f9cb27031ad51e3333f9aF9C6B1228183
Spark USDS Savings (sUSDS),Spark (Sky),other,USDS,ERC-4626 wrapper of USDS earning Sky Savings Rate,222527051,3.6,n/a,3.64,3.65,depeg_risk,ChainSecurity; Spearbit,instant,0x5875eEE11Cf8398102FdAd704C9E96607675467a,https://defillama.com/yields/pool/aa2d08c0-0abd-4dcf-be93-ff8ca89d01cd,stable,0,Bajo,https://app.spark.fi/
Aave v3 Base aBascbBTC,Aave v3,lending,cbBTC,Supply cbBTC to Aave v3 Base pool,144264972,0.03,n/a,0.03,0.02,"depeg_risk,liquidation_risk",OpenZeppelin; Trail of Bits; SigmaPrime; Certora; PeckShield; ABDK,instant (subject to liquidity),0xBdb9300b7CDE636d9cD4AFF00f6F009fFBBc8EE6,https://defillama.com/yields/pool/89bc7c4c-d71c-435c-ab28-56c803d51320,btc,2,Bajo,https://app.aave.com/
Gauntlet USD Alpha (gtUSDa),Gauntlet (Aera),yield_aggregator,USDC,Aera-managed cross-chain stablecoin yield,67008224,4.28,n/a,4.3,4.49,"depeg_risk,centralized_dependency,withdraw_queue",Aera framework reviews (no vault-specific firm found),epoch (Provisioner deposit/redeem requests),0x000000000001CdB57E58Fa75Fe420a0f4D6640D5,https://defillama.com/yields/pool/c043062f-fcd6-47aa-b063-70691dc25c1c,stable,3,Medio,https://app.aera.finance/vaults/base:0x000000000001CdB57E58Fa75Fe420a0f4D6640D5
ether.fi Wrapped eETH (weETH),ether.fi,restaking,ETH,Liquid restaking token; ETH staking + EigenLayer restaking,65529853,3.09,0.07,2.8,2.68,centralized_dependency,Zellic; Nethermind; Certik,instant (subject to liquidity); native unstake ~3-10d,0x04C0599Ae5A44757c0af6F9eC3b93da8976c150A,https://defillama.com/yields/pool/333f3e8b-6fe3-4ba0-9657-265ae94b7496,eth,2,Bajo,https://www.ether.fi/
Aave v3 Base aBasweETH,Aave v3,lending,weETH,Supply weETH to Aave v3 Base pool,54951961,0.0,n/a,0.0,0.0,"depeg_risk,liquidation_risk",OpenZeppelin; Trail of Bits; SigmaPrime; Certora; PeckShield; ABDK,instant (subject to liquidity),0x7C307e128efA31F540F2E2d976C995E0B65F51F6,https://defillama.com/yields/pool/f0131970-afac-4835-b22c-520f192e01d5,eth,3,Medio,https://app.aave.com/
Origin Super OETH (superOETHb),Origin Protocol,restaking,ETH,ETH yield via wOETH + Aerodrome AMO concentrated liquidity,41425543,n/a,n/a,2.31,2.19,centralized_dependency,OpenZeppelin; Trail of Bits; Narya,instant (subject to liquidity); native ~up to 10d,0xDBFeFD2e8460a6Ee4955A68582F85708BAEA60A3,https://defillama.com/yields/pool/f388573e-5c0f-4dac-9f70-116a4aabaf17,eth,2,Bajo,https://www.originprotocol.com/
Pangolins USDC,Morpho (MetaMorpho),lending,USDC,Curated MetaMorpho vault allocating USDC across Morpho Blue markets,36228505,4.45,0,4.36,4.28,"depeg_risk,liquidation_risk","MetaMorpho & Morpho Blue: Spearbit, Cantina, OpenZeppelin",instant (subject to market liquidity),0x1401d1271C47648AC70cBcdfA3776D4A87CE006B,https://defillama.com/yields/pool/c1949c46-0c01-445f-8017-b3192d9913bc,stable,2,Bajo,https://app.morpho.org/base/vault/0x1401d1271C47648AC70cBcdfA3776D4A87CE006B
Aave v3 Base aBaswstETH,Aave v3,lending,wstETH,Supply wstETH to Aave v3 Base pool,34568073,1.51,n/a,1.6,1.45,"depeg_risk,liquidation_risk",OpenZeppelin; Trail of Bits; SigmaPrime; Certora; PeckShield; ABDK,instant (subject to liquidity),0x99CBC45ea5bb7eF3a5BC08FB1B7E56bB2442Ef0D,https://defillama.com/yields/pool/23405eee-97e7-4b8e-8625-19c3a36047e8,eth,3,Medio,https://app.aave.com/
Aave v3 Base aBasWETH,Aave v3,lending,WETH,Supply WETH to Aave v3 Base pool,34127746,0.0,n/a,0.0,0.0,liquidation_risk,OpenZeppelin; Trail of Bits; SigmaPrime; Certora; PeckShield; ABDK,instant (subject to liquidity),0xD4a0e0b9149BCee3C920d2E00b5dE09138fd8bb7,https://defillama.com/yields/pool/361f0a3c-6adb-4b1c-bf35-f9cd79f2341c,eth,2,Bajo,https://app.aave.com/
Aave v3 Base aBasUSDC,Aave v3,lending,USDC,Supply USDC to Aave v3 Base pool,30410759,3.11,n/a,3.11,3.21,"depeg_risk,liquidation_risk",OpenZeppelin; Trail of Bits; SigmaPrime; Certora; PeckShield; ABDK,instant (subject to liquidity),0x4e65fE4DbA92790696d040ac24Aa414708F5c0AB,https://defillama.com/yields/pool/7e0661bf-8cf3-45e6-9424-31916d4c7b84,stable,2,Bajo,https://app.aave.com/
Aave v3 Base aBascbETH,Aave v3,lending,cbETH,Supply cbETH to Aave v3 Base pool,28735866,0.0,n/a,0.01,0.04,"depeg_risk,liquidation_risk",OpenZeppelin; Trail of Bits; SigmaPrime; Certora; PeckShield; ABDK,instant (subject to liquidity),0xcf3D55c10DB69f28fD1A75Bd73f3D8A2d9c595ad,https://defillama.com/yields/pool/54470a44-22f4-4508-bbbb-2d8e2770ab77,eth,3,Medio,https://app.aave.com/
Froge's USDC,Morpho (MetaMorpho),lending,USDC,Curated MetaMorpho vault allocating USDC across Morpho Blue markets,23832023,4.45,0,4.36,4.28,"depeg_risk,liquidation_risk","MetaMorpho & Morpho Blue: Spearbit, Cantina, OpenZeppelin",instant (subject to market liquidity),0x2C6D169782bF18Cc634D076Fe639092227B82fdA,https://defillama.com/yields/pool/5a0433ec-041d-40e0-aeef-d52e5c2b5f51,stable,2,Bajo,https://app.morpho.org/base/vault/0x2C6D169782bF18Cc634D076Fe639092227B82fdA
Aave v3 Base aBassyrupUSDC,Aave v3,lending,syrupUSDC,Supply syrupUSDC to Aave v3 Base pool,18917051,0,n/a,0,0,"depeg_risk,liquidation_risk",OpenZeppelin; Trail of Bits; SigmaPrime; Certora; PeckShield; ABDK,instant (subject to liquidity),0xD7424238CcbE7b7198Ab3cFE232e0271E22da7bd,https://defillama.com/yields/pool/974b8732-2dce-4a46-8204-7f9e6b7efb71,stable,2,Bajo,https://app.aave.com/
YO USD (yoUSD),YO Protocol,yield_aggregator,USDC,ERC-4626 multi-protocol USD yield optimizer,15075955,4.22,n/a,4.14,4.02,"depeg_risk,centralized_dependency,withdraw_queue",Hunter Security; Offbeat; Spearbit,instant (subject to liquidity); else async <=24h,0x0000000f2eb9f69274678c76222b35eec7588a65,https://defillama.com/yields/pool/1994cc35-a2b9-434e-b197-df6742fb5d81,stable,3,Medio,https://yo.xyz/
Moonwell MORPHO,Moonwell,lending,MORPHO,Supply MORPHO to Moonwell (Compound v2 fork),12329708,0.02,0.11,0.09,0.14,liquidation_risk,Halborn; Code4rena,instant (subject to liquidity),0x6308204872bdb7432df97b04b42443c714904f3e,https://defillama.com/yields/pool/4af140f4-7467-48a5-8993-cd68003a7a6f,alt,4,Medio,https://moonwell.fi/
Fluid fUSDC,Fluid,lending,USDC,ERC-4626 lending; supply USDC to Fluid Liquidity Layer,11724018,8.39,n/a,5.5,5.52,"depeg_risk,liquidation_risk",PeckShield; MixBytes; StateMind; Cantina,instant (subject to liquidity),0xf42f5795D9ac7e9D757dB633D693cD548Cfd9169,https://defillama.com/yields/pool/7372edda-f07f-4598-83e5-4edec48c4039,stable,2,Bajo,https://fluid.io/lending/8453
