vault_name,protocol,category,underlying_assets,strategy_summary,tvl_usd,base_apy,reward_apy,net_apy_7d,net_apy_30d,risk_flags,audits,withdrawal_terms,vault_address,source_url,underlying_asset_class,risk_score,risk_tier,protocol_url
Spark sUSDS Savings (Arbitrum),Spark (Sky),other,USDS,"Sky Savings Rate on USDS, bridged from L1",358862522,3.6,n/a,3.62,3.64,"depeg_risk,centralized_dependency","ChainSecurity, Cantina, Spearbit",instant,0xddb46999f8891663a8f2828d25298f70416d7610,https://defillama.com/yields/pool/3637ce7b-529b-49c1-964c-710a50b2939c,stable,1,Bajo,https://app.spark.fi/savings
USDai Staked (sUSDai),USDai,yield_aggregator,USDAI,"Staked USDai, AI-infra debt-backed yield",299733666,7.07,n/a,7.07,7.23,"depeg_risk,smart_contract_unaudited,centralized_dependency,lockup,withdraw_queue",none found,30d unlock queue,0x0b2b2b2076d95dda7817e785989fe353fe955ef9,https://defillama.com/yields/pool/712ce948-bd9e-4f4a-8916-b72c447f7578,stable,7,Alto,https://usdai.io/
Aave v3 Arbitrum aArbWBTC,Aave v3,lending,WBTC,Aave v3 supply market for WBTC,174833022,0.05,n/a,0.05,0.05,"depeg_risk,liquidation_risk","SigmaPrime, OpenZeppelin, Certora, ABDK, Trail of Bits",instant (subject to utilization),0x078f358208685046a11C85e8ad32895DED33A249,https://defillama.com/yields/pool/7c5e69a4-2430-4fa2-b7cb-857f79d7d1bf,btc,2,Bajo,https://app.aave.com/?marketName=proto_arbitrum_v3
Aave v3 Arbitrum aArbweETH,Aave v3,lending,weETH,Aave v3 supply market for weETH,92050654,0.0,n/a,0.0,0.0,"depeg_risk,liquidation_risk","SigmaPrime, OpenZeppelin, Certora, ABDK, Trail of Bits",instant (subject to utilization),0x8437d7C167dFB82ED4Cb79CD44B7a32A1dd95c77,https://defillama.com/yields/pool/3df9ffeb-8c72-438c-a9ae-026488d8f2b2,eth,3,Medio,https://app.aave.com/?marketName=proto_arbitrum_v3
Fluid fUSDC (Arbitrum),Fluid,lending,USDC,Fluid ERC-4626 lending fToken for USDC,47063452,5.22,n/a,5.17,5.4,"depeg_risk,liquidation_risk","MixBytes, Statemind",instant (subject to utilization),0x1A996cb54bb95462040408C06122D45D6Cdb6096,https://defillama.com/yields/pool/4c45cc9e-e1a4-43c9-8a3d-687d96abb07c,stable,2,Bajo,https://fluid.io/lending/42161
Aave v3 Arbitrum aArbwstETH,Aave v3,lending,wstETH,Aave v3 supply market for wstETH,42712275,0.0,n/a,0.0,0.0,"depeg_risk,liquidation_risk","SigmaPrime, OpenZeppelin, Certora, ABDK, Trail of Bits",instant (subject to utilization),0x513c7E3a9c69cA3e22550eF58AC1C0088e918FFf,https://defillama.com/yields/pool/e62bcb01-ed4c-4ec9-8cfa-e86e7ccf7688,eth,3,Medio,https://app.aave.com/?marketName=proto_arbitrum_v3
Fluid fUSDT0 (Arbitrum),Fluid,lending,USDT0,Fluid ERC-4626 lending fToken for USDT0,41553686,4.57,n/a,4.42,5.15,"depeg_risk,liquidation_risk","MixBytes, Statemind",instant (subject to utilization),0x4A03F37e7d3fC243e3f99341d36f4b829BEe5E03,https://defillama.com/yields/pool/9f9b14d8-4eaa-4718-85e9-43ca843f6dc6,stable,2,Bajo,https://fluid.io/lending/42161
Aave v3 Arbitrum aArbUSDCn,Aave v3,lending,USDC,Aave v3 supply market for native USDC,40367804,2.45,n/a,2.88,3.19,"depeg_risk,liquidation_risk","SigmaPrime, OpenZeppelin, Certora, ABDK, Trail of Bits",instant (subject to utilization),0x724dc807b04555b71ed48a6896b6F41593b8C637,https://defillama.com/yields/pool/d9fa8e14-0447-4207-9ae8-7810199dfa1f,stable,2,Bajo,https://app.aave.com/?marketName=proto_arbitrum_v3
BlackRock BUIDL (Arbitrum),BlackRock,rwa,BUIDL,"Tokenized money-market fund (US T-bills, repos, cash)",25532495,3.2,n/a,3.18,3.22,"depeg_risk,smart_contract_unaudited,centralized_dependency,withdraw_queue",Securitize transfer agent (no SC firm published),"T+0 redemption via Securitize, KYC-gated",0xA6525Ae43eDCd03dC08E775774dCAbd3bb925872,https://defillama.com/yields/pool/1f73ccbf-189e-4471-9e5c-46151b505d7d,stable,6,Alto,https://securitize.io/
Steakhouse High Yield USDT0 (bbqUSDT0),Morpho (Vault V2),lending,USDT0,Morpho Vault V2 curated USDT0 high-yield strategy,14734541,2.46,0,2.91,2.78,"depeg_risk,liquidation_risk,centralized_dependency","MetaMorpho & Morpho Vault V2: Spearbit, Cantina, OpenZeppelin",instant (subject to market liquidity),0xbeeff77CE5C059445714E6A3490E273fE7F2492F,https://defillama.com/yields/pool/940650fd-f695-4178-b438-cc52a7cd59e9,stable,3,Medio,https://app.morpho.org/arbitrum/vault/0xbeeff77CE5C059445714E6A3490E273fE7F2492F
